Ott-Tribes-Neg.,Tribal rebellions,Leadership_Succession,Religion,Internal discord,Public works,Battle of Constantine
0.000021,0.087737,0.472903,0.000016,0.000014,0.000109,0.439200
0.022498,0.000458,0.844128,0.063891,0.000350,0.000184,0.068492
0.000137,0.000123,0.541570,0.366160,0.035519,0.053843,0.002648
0.008550,0.000499,0.667490,0.000409,0.322753,0.000200,0.000098
0.000179,0.359029,0.630189,0.010384,0.000123,0.000064,0.000031
0.016951,0.015173,0.934753,0.012428,0.011622,0.006091,0.002982
0.395965,0.039183,0.522945,0.001886,0.038644,0.000924,0.000452
0.000375,0.378239,0.620654,0.000275,0.000257,0.000135,0.000066
0.002585,0.296604,0.550644,0.000124,0.113702,0.000061,0.036281
0.624983,0.003706,0.370035,0.000479,0.000448,0.000235,0.000115
0.190622,0.029524,0.715402,0.024183,0.022615,0.011853,0.005802
0.000383,0.273065,0.725804,0.000281,0.000263,0.000138,0.000067
0.000728,0.000652,0.583059,0.000534,0.414638,0.000262,0.000128
0.002431,0.000142,0.619186,0.000116,0.378041,0.000057,0.000028
0.582648,0.000813,0.414764,0.000666,0.000623,0.000326,0.000160
0.000567,0.206278,0.599816,0.016660,0.176376,0.000204,0.000100
0.000150,0.299989,0.595085,0.104594,0.000103,0.000054,0.000026
0.419481,0.012243,0.562865,0.000589,0.000551,0.004130,0.000141
0.001019,0.273626,0.548048,0.176063,0.000699,0.000366,0.000179
0.637139,0.000552,0.337529,0.000452,0.000423,0.023796,0.000108
0.385560,0.000766,0.493314,0.045646,0.074254,0.000308,0.000151
0.014587,0.013057,0.664982,0.150130,0.149436,0.005242,0.002566
0.048171,0.043118,0.814583,0.035318,0.033028,0.017311,0.008473
0.002777,0.135211,0.657498,0.201124,0.001904,0.000998,0.000488
0.000386,0.179199,0.589180,0.000283,0.227058,0.003826,0.000068
0.602971,0.017372,0.373674,0.002245,0.002099,0.001100,0.000538
0.027889,0.000179,0.724250,0.016378,0.221650,0.009620,0.000035
0.634587,0.000600,0.360303,0.000491,0.003661,0.000241,0.000118
0.032984,0.029524,0.557764,0.339459,0.022615,0.011853,0.005802
0.454889,0.066004,0.476458,0.000994,0.000929,0.000487,0.000238
0.000158,0.427737,0.465843,0.009198,0.012974,0.078008,0.006082
0.003749,0.485603,0.509954,0.000260,0.000243,0.000128,0.000062
0.339596,0.002740,0.490730,0.016877,0.016731,0.132788,0.000538
0.449672,0.001354,0.546019,0.001109,0.001037,0.000544,0.000266
0.000691,0.224933,0.485884,0.000048,0.000045,0.213638,0.074761
0.004758,0.452655,0.541707,0.000330,0.000309,0.000162,0.000079
0.608848,0.002545,0.386968,0.000179,0.001331,0.000087,0.000043
0.028492,0.025503,0.890329,0.020890,0.019535,0.010239,0.005012
0.157462,0.009251,0.440522,0.001195,0.382905,0.000586,0.008078
0.000235,0.000210,0.567164,0.000172,0.430971,0.000084,0.001163
0.003705,0.441827,0.553215,0.000470,0.000440,0.000230,0.000113
0.524508,0.004820,0.469013,0.000623,0.000582,0.000305,0.000149
0.412049,0.000786,0.396647,0.000644,0.000602,0.000315,0.188957
0.006510,0.239248,0.608640,0.006346,0.138925,0.000222,0.000108
0.000188,0.157778,0.652535,0.000138,0.000129,0.001869,0.187363
0.258239,0.001374,0.627373,0.103807,0.008387,0.000551,0.000270
0.393343,0.002360,0.586540,0.001933,0.014411,0.000948,0.000464
0.021459,0.202805,0.657367,0.021386,0.078300,0.018634,0.000049
0.002584,0.000047,0.690203,0.046111,0.083067,0.029890,0.148098
