DocNames,Ott-Tribe Negotiations,Tun-Alg Conflict,Public Works,Internal Discord,French Concess,Rebellions,Lead & Trans,Malfeasance,Religion & Gov,Battle of Con.,Eng Bomb_BadGov
gaid-00.txt,0.41296,0.185284,0.000047,0.000107,0.000184,0.003519,0.397344,0.000223,0.000228,0.000046,0.00006
gaid-01.txt,0.037344,0.030846,0.006168,0.014008,0.024128,0.032047,0.567327,0.029267,0.244972,0.005998,0.007896
gaid-02.txt,0.008837,0.109082,0.00146,0.003315,0.005709,0.160257,0.694051,0.006925,0.007077,0.001419,0.001868
gaid-03.txt,0.164294,0.059149,0.000089,0.000201,0.046693,0.00046,0.471615,0.00042,0.25688,0.000086,0.000113
gaid-04.txt,0.380718,0.263404,0.000091,0.000206,0.000355,0.000472,0.353677,0.000431,0.000441,0.000088,0.000116
gaid-05.txt,0.030734,0.025386,0.005077,0.011529,0.019857,0.026375,0.820909,0.024087,0.024613,0.004936,0.006498
gaid-06.txt,0.037344,0.030846,0.221234,0.014008,0.024128,0.032047,0.567327,0.029267,0.029907,0.005998,0.007896
gaid-07.txt,0.347907,0.000095,0.000019,0.0173,0.000074,0.000099,0.458393,0.089693,0.000756,0.000019,0.085645
gaid-08.txt,0.000906,0.199027,0.00015,0.005558,0.005803,0.058174,0.718174,0.00071,0.011161,0.000146,0.000192
gaid-09.txt,0.191257,0.314543,0.000067,0.000152,0.004916,0.000347,0.4856,0.000317,0.002651,0.000065,0.000085
gaid-10.txt,0.449195,0.062692,0.000137,0.090938,0.014845,0.000711,0.346473,0.034038,0.000663,0.000133,0.000175
gaid-11.txt,0.037344,0.030846,0.006168,0.014008,0.024128,0.032047,0.782392,0.029267,0.029907,0.005998,0.007896
gaid-12.txt,0.000411,0.000339,0.000068,0.00252,0.359901,0.177804,0.458152,0.000322,0.000329,0.000066,0.000087
gaid-13.txt,0.027518,0.073703,0.000672,0.001527,0.00263,0.003494,0.694914,0.167318,0.026707,0.000654,0.000861
gaid-14.txt,0.335958,0.028409,0.000259,0.000589,0.27214,0.001347,0.358229,0.00123,0.001257,0.000252,0.000332
gaid-15.txt,0.000312,0.000258,0.000052,0.000117,0.232363,0.22703,0.526659,0.012843,0.00025,0.00005,0.000066
gaid-16.txt,0.252409,0.030846,0.006168,0.014008,0.024128,0.032047,0.567327,0.029267,0.029907,0.005998,0.007896
gaid-17.txt,0.129799,0.000192,0.000038,0.459581,0.00015,0.000199,0.409588,0.000182,0.000186,0.000037,0.000049
gaid-18.txt,0.256257,0.009399,0.000236,0.000535,0.19821,0.001225,0.350497,0.017559,0.16555,0.000229,0.000302
gaid-19.txt,0.037344,0.030846,0.006168,0.014008,0.024128,0.032047,0.782392,0.029267,0.029907,0.005998,0.007896
gaid-20.txt,0.026112,0.322332,0.004313,0.009795,0.016871,0.022409,0.547077,0.020464,0.020912,0.004194,0.005521
gaid-21.txt,0.03304,0.000517,0.000103,0.000235,0.004006,0.187823,0.603775,0.162565,0.007704,0.0001,0.000132
gaid-22.txt,0.00218,0.001801,0.377009,0.013373,0.001409,0.165085,0.434878,0.001709,0.001746,0.00035,0.000461
gaid-23.txt,0.340794,0.000659,0.000132,0.060028,0.000515,0.000685,0.379683,0.000625,0.216582,0.000128,0.000169
gaid-24.txt,0.321157,0.000274,0.001964,0.175814,0.000214,0.011743,0.484366,0.00026,0.004085,0.000053,0.00007
gaid-25.txt,0.000587,0.014015,0.000097,0.00022,0.010527,0.118887,0.685399,0.00046,0.169589,0.000094,0.000124
gaid-26.txt,0.000124,0.044463,0.000021,0.000047,0.255509,0.186133,0.512745,0.000097,0.000815,0.00002,0.000026
gaid-27.txt,0.458543,0.057621,0.000071,0.000162,0.144684,0.000371,0.337702,0.000339,0.000346,0.000069,0.000091
gaid-28.txt,0.340934,0.010948,0.180727,0.000037,0.000064,0.000085,0.431555,0.000078,0.035535,0.000016,0.000021
gaid-29.txt,0.009569,0.384374,0.000234,0.000531,0.017221,0.001215,0.584085,0.00111,0.001134,0.000227,0.000299
gaid-30.txt,0.000698,0.000577,0.000115,0.000262,0.000451,0.101142,0.461042,0.434893,0.000559,0.000112,0.000148
gaid-31.txt,0.014905,0.012311,0.002462,0.005591,0.00963,0.09863,0.827308,0.011681,0.011937,0.002394,0.003151
gaid-32.txt,0.154385,0.000254,0.000051,0.349004,0.000199,0.000264,0.49347,0.002012,0.000246,0.000049,0.000065
