0-Mil-neg.,1-Public works,2-FR invasion,3-Malfeasance,4-Leader_Success.,5-Tun-Alg conflict,6-Ill_Death,7-Defense-Con.,8-Rel_Gov_Power,9-FR-Conc.,10-unknown,11-Intern-discord,12-Councilmen-act.,13-Fall-Con.,14-Desert-comm.,15-Grand tribes,16-Ott-Tribes-neg.,17-Women,18-Alg-mil-resist.,19-Despotic-rule
0.048337,0.00008,0.000034,0.437294,0.501052,0.00069,0.000217,0.000462,0.000498,0.000387,0.000182,0.0002,0.000359,0.000101,0.000138,0.008714,0.000875,0.000102,0.000208,0.000069
0.00494,0.001598,0.000675,0.009804,0.720283,0.01373,0.004309,0.009193,0.009912,0.007695,0.003631,0.003989,0.007144,0.002018,0.002739,0.09366,0.097145,0.002028,0.004133,0.001372
0.00011,0.000036,0.000015,0.003774,0.458692,0.005639,0.000096,0.001983,0.001999,0.000172,0.001859,0.341397,0.000159,0.000045,0.000061,0.002088,0.181708,0.000045,0.000092,0.000031
0.058601,0.000051,0.000022,0.000312,0.480339,0.013143,0.010301,0.028244,0.013021,0.241643,0.000116,0.000127,0.000228,0.000064,0.000087,0.150364,0.003096,0.000065,0.000132,0.000044
0.000139,0.000045,0.000019,0.000276,0.511812,0.303389,0.000121,0.033926,0.000279,0.000217,0.000102,0.000112,0.000201,0.000057,0.000077,0.146282,0.002734,0.000057,0.000116,0.000039
0.000286,0.000093,0.000039,0.000568,0.346508,0.000795,0.328132,0.000532,0.000574,0.000446,0.00021,0.000231,0.000414,0.000117,0.000159,0.033133,0.287328,0.000117,0.000239,0.000079
0.191648,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.00076,0.000246,0.000104,0.001508,0.589067,0.014375,0.000663,0.001414,0.001525,0.037975,0.000558,0.000614,0.001099,0.00031,0.000421,0.345526,0.002677,0.000312,0.000636,0.000211
0.000353,0.000114,0.000048,0.0007,0.438833,0.000981,0.000308,0.000657,0.205788,0.06891,0.000259,0.000285,0.00051,0.000144,0.000196,0.211771,0.05821,0.000145,0.011689,0.000098
0.000101,0.000033,0.000014,0.010029,0.383321,0.216484,0.00664,0.072256,0.000204,0.000158,0.000075,0.000082,0.000147,0.000041,0.000056,0.003562,0.298454,0.000042,0.008274,0.000028
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.011181,0.003617,0.001528,0.022189,0.547392,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.211979,0.039399,0.004591,0.009355,0.003104
0.000269,0.000087,0.000037,0.204401,0.442581,0.000747,0.000234,0.004838,0.000539,0.004756,0.017548,0.000217,0.000389,0.00011,0.000149,0.000757,0.321931,0.00011,0.000225,0.000075
0.000275,0.000089,0.004471,0.098088,0.39032,0.005197,0.00024,0.040415,0.000551,0.000428,0.000202,0.000222,0.004831,0.000112,0.000152,0.000774,0.453214,0.000113,0.00023,0.000076
0.011181,0.003617,0.001528,0.022189,0.727859,0.031075,0.009753,0.020806,0.022434,0.017416,0.008217,0.009029,0.01617,0.004567,0.006199,0.031511,0.039399,0.004591,0.009355,0.003104
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.000153,0.000049,0.000021,0.000303,0.547499,0.170568,0.000133,0.000284,0.209903,0.000238,0.000112,0.000123,0.049538,0.000062,0.000085,0.000431,0.020265,0.000063,0.000128,0.000042
0.162349,0.003064,0.001294,0.018797,0.463708,0.179202,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.000175,0.000057,0.000024,0.000347,0.575485,0.000486,0.002973,0.003146,0.034197,0.29925,0.000128,0.000141,0.059484,0.000071,0.000097,0.000492,0.02318,0.000072,0.000146,0.000049
0.000086,0.000028,0.000012,0.00155,0.403059,0.011279,0.000075,0.000159,0.000172,0.000133,0.000063,0.000069,0.000124,0.000035,0.000047,0.000241,0.272198,0.000035,0.310613,0.000024
0.000075,0.006066,0.00001,0.08957,0.46044,0.000208,0.006107,0.002556,0.00015,0.000117,0.035099,0.00006,0.000108,0.000031,0.000042,0.000211,0.399036,0.000031,0.000063,0.000021
0.000076,0.000025,0.00001,0.000151,0.521219,0.000212,0.000066,0.000142,0.000153,0.060349,0.199185,0.028333,0.189406,0.000031,0.000042,0.000215,0.000268,0.000031,0.000064,0.000021
0.009472,0.003064,0.001294,0.018797,0.769463,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.026694,0.033376,0.003889,0.007925,0.00263
0.00317,0.001026,0.000433,0.006292,0.462265,0.008812,0.002766,0.0059,0.466928,0.004938,0.00233,0.00256,0.004585,0.001295,0.001758,0.008936,0.011172,0.001302,0.002653,0.00088
0.000273,0.000088,0.000037,0.344851,0.503366,0.00076,0.000239,0.004923,0.044691,0.079882,0.000201,0.000221,0.013638,0.000112,0.000152,0.005185,0.000964,0.000112,0.000229,0.000076
0.000147,0.000048,0.00002,0.104919,0.504191,0.000409,0.000129,0.031187,0.024074,0.000229,0.000108,0.000119,0.000213,0.01195,0.306829,0.000415,0.014786,0.00006,0.000123,0.000041
0.000108,0.000035,0.000015,0.007214,0.470715,0.000301,0.000095,0.000202,0.500619,0.000169,0.015827,0.000088,0.000157,0.000044,0.00006,0.003805,0.000382,0.000045,0.000091,0.00003
0.009472,0.003064,0.001294,0.018797,0.616585,0.026324,0.008262,0.017625,0.019005,0.014753,0.006961,0.007649,0.013698,0.003869,0.005252,0.179572,0.033376,0.003889,0.007925,0.00263
0.000642,0.000208,0.000088,0.011632,0.476824,0.032858,0.00056,0.001194,0.446693,0.001,0.000472,0.000518,0.000928,0.000262,0.000356,0.022525,0.002261,0.000263,0.000537,0.000178
0.000149,0.000048,0.00002,0.338019,0.506664,0.002828,0.00013,0.000278,0.0003,0.002645,0.00011,0.000121,0.082235,0.000061,0.000083,0.005246,0.002939,0.000061,0.05802,0.000041
0.000239,0.000077,0.000033,0.015886,0.489453,0.000663,0.000208,0.000444,0.45898,0.000372,0.000175,0.000193,0.000345,0.000098,0.000132,0.000673,0.000841,0.000098,0.031023,0.000066
0.00008,0.000026,0.000011,0.000158,0.609154,0.167631,0.00007,0.110896,0.015613,0.007851,0.018087,0.000064,0.04905,0.000033,0.000044,0.000225,0.000281,0.020637,0.000067,0.000022
0.000214,0.000069,0.000029,0.276724,0.369665,0.000595,0.000187,0.003852,0.003883,0.000333,0.000157,0.000173,0.000309,0.000087,0.003572,0.000603,0.325406,0.000088,0.013994,0.000059
0.000016,0.000005,0.246575,0.000032,0.406267,0.000045,0.001058,0.002378,0.000032,0.026118,0.000012,0.00184,0.000284,0.08298,0.000009,0.000306,0.232018,0.000007,0.000014,0.000004
